STATION_NAME,TRANSECT,STATION_ID,SAMPLE_TIME,LATITUDE,LONGITUDE,SECCHI_DEPTH,ACOUSTIC_DEPTH,REPLICATE_DESC,TEMPERATURE,SALINITY,SAMPLE_DEPTH,CHL_A,TRICHODESMIUM
Osprey ent. Channel,Cooktown-Osprey,77,6/10/08 8:45,-13.88933,146.55516,,,A2,26.1,35,,0.12,Absent
Osprey ent. Channel,Cooktown-Osprey,77,6/10/08 8:45,-13.88933,146.55516,,,B1,26.1,35,,0.13,Absent
Osprey ent. Channel,Cooktown-Osprey,77,6/10/08 8:45,-13.88933,146.55516,,,B2,26.1,35,,0.13,Absent
Codhole,Cooktown-Osprey,81,5/10/08 18:00,-14.61217,145.63467,,260,A1,26.1,34.5,260,0.1,Absent
Codhole,Cooktown-Osprey,81,5/10/08 18:00,-14.61217,145.63467,,260,A2,26.1,34.5,260,0.12,Absent
Codhole,Cooktown-Osprey,81,5/10/08 18:00,-14.61217,145.63467,,260,B1,26.1,34.5,260,0.11,Absent
Codhole,Cooktown-Osprey,81,5/10/08 18:00,-14.61217,145.63467,,260,B2,26.1,34.5,260,0.11,Absent
Mackay Marina Wall,Coastal,208,2/10/08 12:35,-21.105,149.215,,,A1,25.4,40,,0.45,Absent
Mackay Marina Wall,Coastal,208,2/10/08 12:35,-21.105,149.215,,,A2,25.4,40,,0.42,Absent
Magnetic - Picnic Bay,Coastal,224,1/10/08 12:45,-19.18,146.84,,,A1,24.7,36,,0.34,Absent
Magnetic - Picnic Bay,Coastal,224,1/10/08 12:45,-19.18,146.84,,,A2,24.7,36,,0.25,Absent
Line Reef,Whitsundays,229,24/9/08 10:22,-19.756,149.14,,25,A1,25,37,25,0.16,Absent
Line Reef,Whitsundays,229,24/9/08 10:22,-19.756,149.14,,25,A2,25,37,25,0.3,Absent
Line Reef,Whitsundays,229,24/9/08 10:22,-19.756,149.14,,25,B1,25,37,25,0.21,Absent
